buildingblock3_smiles,n,errors,error_rate,pos_rate
Cl.NCCOc1ccc(F)c(F)c1,14,5,0.35714285714285715,0.6428571428571429
COC(C)(CCN)OC,12,4,0.3333333333333333,0.6666666666666666
COC(=O)c1cscc1N.Cl,12,4,0.3333333333333333,0.4166666666666667
Nc1n[nH]c2c(F)c(F)ccc12,19,6,0.3157894736842105,0.631578947368421
Nc1ccc2[nH]c(=O)[nH]c2c1,10,3,0.3,0.5
Cl.NCC1CC(CC(N)=O)CO1,10,3,0.3,0.7
Cl.NCCS(=O)(=O)Nc1ccccc1,17,5,0.29411764705882354,0.47058823529411764
Nc1cc(Br)cn2ccnc12,24,7,0.2916666666666667,0.5833333333333334
Nc1ccnc(Cl)n1,14,4,0.2857142857142857,0.6428571428571429
Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,14,4,0.2857142857142857,0.42857142857142855
Cl.NCc1nc2ccccc2c(=O)[nH]1,18,5,0.2777777777777778,0.5
Cl.NCCNC(=O)c1ccn[nH]1,11,3,0.2727272727272727,0.6363636363636364
CN1CC2(CCC1CN)CC2.Cl.Cl,11,3,0.2727272727272727,0.6363636363636364
Cl.Cl.NCc1ccc(O)c2ncccc12,11,3,0.2727272727272727,0.2727272727272727
CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,11,3,0.2727272727272727,0.2727272727272727
Cc1cc(CN)cc(Cl)n1.Cl.Cl,11,3,0.2727272727272727,0.5454545454545454
Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,19,5,0.2631578947368421,0.3684210526315789
NCc1cc(F)cc(F)c1,12,3,0.25,0.25
Nc1cnc(Cl)cn1,20,5,0.25,0.6
NCCC(O)C1CCCC1,12,3,0.25,0.4166666666666667
N#Cc1cnc2c(C#N)cnn2c1N,16,4,0.25,0.6875
COc1cc(CN)sn1.Cl.Cl,28,7,0.25,0.6785714285714286
C=CCNC(=O)CN.Cl,16,4,0.25,0.5625
Nc1nccs1,17,4,0.23529411764705882,0.4117647058823529
Nc1nc2c(s1)CN(C(=O)OCc1ccccc1)CC2,17,4,0.23529411764705882,0.7647058823529411
CCOC(=O)c1coc(N)n1,26,6,0.23076923076923078,0.5
Nc1ccc(CC2COC(=O)N2)cc1,13,3,0.23076923076923078,0.46153846153846156
Cl.NCCN1CCCS1(=O)=O,13,3,0.23076923076923078,0.6153846153846154
COc1cc(CN)c(Br)cn1,13,3,0.23076923076923078,0.6153846153846154
Cn1nnc(N)n1,22,5,0.22727272727272727,0.6363636363636364
NCc1cccc(C(=O)N2CCCC2)c1,22,5,0.22727272727272727,0.5909090909090909
Cc1cn(-c2cc(N)cc(C(F)(F)F)c2)cn1,22,5,0.22727272727272727,0.5
NCCc1ncc(Br)s1,18,4,0.2222222222222222,0.5
CCOC(=O)c1cnn(C)c1N,27,6,0.2222222222222222,0.5185185185185185
Cc1ccc(N)c(Cl)n1,14,3,0.21428571428571427,0.5714285714285714
Nc1nnn[nH]1,19,4,0.21052631578947367,0.7368421052631579
NCC1(C2CC2)CCCO1,15,3,0.2,0.5333333333333333
COc1ccc(C)nc1CN.Cl.Cl,20,4,0.2,0.55
COc1cncc(N)c1,10,2,0.2,0.3
CSc1nnc(CN)s1,15,3,0.2,0.6
Nc1ccnc(-c2ccccc2)c1,15,3,0.2,0.6
Cc1nnc(N)s1,10,2,0.2,0.4
Cn1cc(N)cn1,25,5,0.2,0.48
Cn1nccc1CN1C[C@@H](F)C[C@H]1CN,10,2,0.2,0.2
Nc1ccc(Cl)nc1,10,2,0.2,0.5
Nc1cc(-c2cccc(Br)c2)no1,20,4,0.2,0.5
NCc1ccccc1CN1CCCC1=O,20,4,0.2,0.65
Nc1cc[nH]c(=O)c1,15,3,0.2,0.4666666666666667
Cc1nc(CN)sc1C,26,5,0.19230769230769232,0.6153846153846154
Nc1cc(=O)[nH]c(=O)[nH]1,26,5,0.19230769230769232,0.5
CC1Cc2cc(CN)ccc2O1,26,5,0.19230769230769232,0.5769230769230769
Cc1ccc(CN)n1C,21,4,0.19047619047619047,0.5714285714285714
Cl.NCCCNC(=O)c1ccc(F)cc1,21,4,0.19047619047619047,0.5238095238095238
CC1(CN)CCC2(CC1)OCCO2,21,4,0.19047619047619047,0.5238095238095238
NCc1cnn(Cc2ccccc2)c1,16,3,0.1875,0.4375
Nc1ccccc1-c1nnn[nH]1,16,3,0.1875,0.625
Nc1ccc(F)cc1Cl,16,3,0.1875,0.5
Cl.NCCCCN1C(=O)c2ccccc2C1=O,16,3,0.1875,0.3125
Nc1cccc(OCc2ccccc2)c1,27,5,0.18518518518518517,0.37037037037037035
COC(=O)c1sccc1N,27,5,0.18518518518518517,0.5185185185185185
Nc1cccc(N2CCOCC2)c1,27,5,0.18518518518518517,0.5555555555555556
Cn1ncc(C#N)c1N,22,4,0.18181818181818182,0.6363636363636364
Nc1ccc2ncccc2c1,22,4,0.18181818181818182,0.5454545454545454
Nc1ncnc2[nH]cnc12,22,4,0.18181818181818182,0.6818181818181818
Cc1cccc(OCCCN)c1C.Cl,11,2,0.18181818181818182,0.45454545454545453
