molecule_smiles,n,errors,error_rate,pos_rate
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2sccc2C(=O)OC)nc(Nc2nc3ccccc3c3c2ncn3CC(C)C)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccnc(-c3ccccc3)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2cnc(Cl)cn2)n1,2,2,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc3c(c2)CNC3=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2cccc(CN3CCN(C)CC3)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2ccc3c(c2)CNC3=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2ccc3c(c2)CC(=O)N3)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2cccnc2F)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2cc(C)ccn2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc(Cl)nc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nc(-c3ccc(Cl)c(Cl)c3)cs2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nc(Cl)c3cn[nH]c3n2)n1,2,2,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nc(F)nc3nc[nH]c23)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nc3ccc(C(=O)OC)cc3s2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ncccc2C=O)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(NCC(C)Oc2ccc(Cl)cc2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2nnc(C)o2)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)Oc2ccc(Cl)cc2)nc(Nc2n[nH]cc2C(=O)OC)n1,1,1,1.0,1.0
C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2nnc(C(C)(C)C)s2)nc(Nc2ccc(CC3COC(=O)N3)cc2)n1,1,1,1.0,1.0
