buildingblock2_smiles,n,errors,error_rate,pos_rate
CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl,136,29,0.21323529411764705,1.0
CC(C)NC(=O)NCCN.Cl.Cl,109,22,0.2018348623853211,1.0
CC(CN)OC(C)(C)C.Cl,281,44,0.15658362989323843,1.0
CC(C)(C)NS(=O)(=O)c1cccc(N)c1,317,49,0.15457413249211358,0.9242902208201893
CC(C)(C)c1ocnc1CN.Cl,260,40,0.15384615384615385,1.0
CC(CN)N1CCC1,380,57,0.15,1.0
CC(C)(C)OC(=O)n1ncc2cc(N)ccc21,371,55,0.14824797843665768,1.0
CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1,455,67,0.14725274725274726,1.0
CC(C)(C)c1ccc(O)c(N)c1,218,32,0.14678899082568808,1.0
CC(C)Cn1cnc2c(N)nc3ccccc3c21,512,71,0.138671875,1.0
CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1,462,64,0.13852813852813853,1.0
CC(CN)S(=O)(=O)N1CCN(c2ccccc2)CC1.Cl.Cl,443,57,0.12866817155756208,1.0
CC(C)(C)c1nnc(CN)s1.Cl,438,56,0.1278538812785388,1.0
CC(CN)Oc1ccc(Cl)cc1,272,34,0.125,1.0
CC(CCN)S(C)=O,152,19,0.125,1.0
CC(C)(CN)C(=O)N1CCCC1,307,38,0.1237785016286645,1.0
CC(CN)S(C)=O,81,10,0.12345679012345678,1.0
CC(C)(CN)CCS(C)(=O)=O.Cl,299,35,0.11705685618729098,1.0
CC(C)(CN)CCC#N,427,46,0.10772833723653395,1.0
CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C,195,19,0.09743589743589744,1.0
C=C(C)COCCN.Cl,472,35,0.07415254237288135,0.0
C=CCNC(=O)CN.Cl,248,18,0.07258064516129033,0.0
C=C1CCC(CN)CC1.Cl,350,25,0.07142857142857142,0.0
CC(C)(C#N)c1ccc(N)cc1,406,29,0.07142857142857142,0.0
C#Cc1ccc(N)cc1,448,29,0.06473214285714286,0.0
CC(=O)c1cccc(N)c1,347,22,0.06340057636887608,0.0
C=CCOCCCN,222,14,0.06306306306306306,0.0
C=CCOCCN,197,12,0.06091370558375635,0.0
C#Cc1cccc(N)c1,379,23,0.06068601583113457,0.0
C=CCSCCN,324,19,0.05864197530864197,0.0
C#CCOc1ccc(CN)cc1.Cl,299,17,0.056856187290969896,0.0
C#CCOc1cccc(CN)c1.Cl,407,20,0.04914004914004914,0.0
CC(=O)c1ccc(N)c(F)c1,309,15,0.04854368932038835,0.0
C=C(Cl)CN.Cl,379,18,0.047493403693931395,0.0
C=CCOC(C)CN,172,7,0.040697674418604654,0.0
CC(=O)Nc1cccc(N)n1,476,18,0.037815126050420166,0.0
C=C(C)C(=O)NCCN.Cl,138,5,0.036231884057971016,0.0
CC(=O)SCCN.Cl,312,10,0.03205128205128205,0.0
