id,protein_name,binds,y_pred,proba_pos,molecule_smiles,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles
14522,sEH,0,1,0.56,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(=O)NCC=C)nc(Nc2nc(C(=O)OCC)co2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=CCNC(=O)CN.Cl,CCOC(=O)c1coc(N)n1
53325,BRD4,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)N2CCC2)nc(NC[C@H]2CC(=O)N(C)[C@@H]2c2cnn(C)c2C)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(CN)N1CCC1,Cc1c([C@@H]2[C@@H](CN)CC(=O)N2C)cnn1C
49716,BRD4,0,0,0.43,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCNC(=O)NC(C)C)nc(Nc2nc3ccc(Cl)cc3s2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)NC(=O)NCCN.Cl.Cl,Nc1nc2ccc(Cl)cc2s1
28344,BRD4,0,1,0.6,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2ccc(C(C)(C)C#N)cc2)nc(Nc2nc3ccc(OC)cc3s2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C#N)c1ccc(N)cc1,COc1ccc2nc(N)sc2c1
30487,HSA,0,0,0.49,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2cnc3c(c2)c(C)nn3C)nc(Nc2cccc(S(=O)(=O)NC(C)(C)C)c2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)NS(=O)(=O)c1cccc(N)c1,Cc1nn(C)c2ncc(CN)cc12.Cl
49675,HSA,0,0,0.48,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCCNC(=O)NC(C)C)nc(Nc2nc(Br)cn3ccnc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)NC(=O)NCCN.Cl.Cl,Nc1nc(Br)cn2ccnc12
31935,BRD4,0,0,0.42,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cc(OC)ccc2Cl)nc(Nc2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1,COc1ccc(Cl)c(N)c1.Cl
42027,BRD4,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(C)(C)C(=O)N2CCCC2)nc(Nc2cc(=O)[nH]c(=S)[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(CN)C(=O)N1CCCC1,Nc1cc(=O)[nH]c(=S)[nH]1
27423,BRD4,0,1,0.53,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2cccc(C(C)=O)c2)nc(Nc2cc(Br)cn3ccnc23)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(=O)c1cccc(N)c1,Nc1cc(Br)cn2ccnc12
12189,BRD4,0,1,0.6,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCC(=C)Cl)nc(Nc2cc(=O)[nH]c(=O)[nH]2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,C=C(Cl)CN.Cl,Nc1cc(=O)[nH]c(=O)[nH]1
40573,HSA,0,0,0.41,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(NCc2ncoc2C(C)(C)C)nc(Nc2cc(F)ccn2)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ocnc1CN.Cl,Nc1cc(F)ccn1
37460,sEH,0,0,0.44,C#CC[C@@H](CC(=O)N[Dy])Nc1nc(Nc2nc3cc([N+](=O)[O-])ccc3[nH]2)nc(Nc2cc(C(C)(C)C)ccc2O)n1,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CC(C)(C)c1ccc(O)c(N)c1,Nc1nc2cc([N+](=O)[O-])ccc2[nH]1
