id,buildingblock1_smiles,buildingblock2_smiles,buildingblock3_smiles,molecule_smiles,protein_name,binds
112653771,O=C(N[C@H](C(=O)O)C1CCCC1)OCC1c2ccccc2-c2ccccc21,Cc1nccnc1N,Cl.NCCC(=O)NCc1ccccc1,Cc1nccnc1Nc1nc(NCCC(=O)NCc2ccccc2)nc(N[C@H](C(=O)N[Dy])C2CCCC2)n1,BRD4,1
249700097,O=C(O)C[C@@H](Cc1ccc(I)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,COC1(C(F)(F)CN)CCOCC1.Cl,Nc1ccc(N2CCC=C(N3CCOCC3)C2=O)cc1,COC1(C(F)(F)CNc2nc(Nc3ccc(N4CCC=C(N5CCOCC5)C4=O)cc3)nc(N[C@@H](CC(=O)N[Dy])Cc3ccc(I)cc3)n2)CCOCC1,sEH,0
116886979,O=C(N[C@H](CCC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21,CSCc1nnc(CN)[nH]1.Cl,Nc1nc(Cl)c2cn[nH]c2n1,CSCc1nnc(CNc2nc(Nc3nc(Cl)c4cn[nH]c4n3)nc(N[C@H](CCC3CCCCC3)C(=O)N[Dy])n2)[nH]1,HSA,1
188313956,O=C(Nc1ccc(C(=O)O)cc1)OCC1c2ccccc2-c2ccccc21,Nc1ccc(N2CCC=C(N3CCOCC3)C2=O)cc1,Nc1nc2ccccc2s1,O=C(N[Dy])c1ccc(Nc2nc(Nc3ccc(N4CCC=C(N5CCOCC5)C4=O)cc3)nc(Nc3nc4ccccc4s3)n2)cc1,sEH,1
112734109,O=C(N[C@H](C(=O)O)C1CCCC1)OCC1c2ccccc2-c2ccccc21,Cl.Cl.NCc1nnc2n1CCOCC2,CCOC(=O)c1c[nH]nc1N,CCOC(=O)c1c[nH]nc1Nc1nc(NCc2nnc3n2CCOCC3)nc(N[C@H](C(=O)N[Dy])C2CCCC2)n1,HSA,1
20746327,CCCCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1,CCOC(=O)c1nnc(N)o1,CCCCC(Nc1nc(NC[C@H]2C[C@H](c3nnc(C(C)C)[nH]3)C[C@H]2O)nc(Nc2nnc(C(=O)OCC)o2)n1)C(=O)N[Dy],HSA,1
199960327,O=C(Nc1ccc(Cl)nc1C(=O)O)OCC1c2ccccc2-c2ccccc21,Cl.NCCC1CC1,COC(=O)c1sc(C)cc1N,COC(=O)c1sc(C)cc1Nc1nc(NCCC2CC2)nc(Nc2ccc(Cl)nc2C(=O)N[Dy])n1,HSA,1
16943721,CC(C)(C)OCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,Cl.NCCC[C@@H]1NC(=O)NC1=O,C=CCNC(=O)CN.Cl,C=CCNC(=O)CNc1nc(NCCC[C@@H]2NC(=O)NC2=O)nc(NC(COC(C)(C)C)C(=O)N[Dy])n1,BRD4,0
16016105,CC(C)(C)OC(=O)N1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C(=O)O)C1,NCCC1CSC1,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1,CC(C)(C)OC(=O)N1CCC(n2cc(Nc3nc(NCCC4CSC4)nc(N[C@@H]4CN(C(=O)OC(C)(C)C)C[C@H]4C(=O)N[Dy])n3)cn2)CC1,sEH,0
14000223,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,Nc1ccc(N2CCOCC2)cc1,Cl.Cl.NCCn1cc(C2CC2)nn1,CC(C)(C)OC(=O)CCC(Nc1nc(NCCn2cc(C3CC3)nn2)nc(Nc2ccc(N3CCOCC3)cc2)n1)C(=O)N[Dy],BRD4,1
13804617,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O,NCC1(CO)CC2C=CC1C2,Cl.Cl.NCc1nc2c(s1)CCC2,CC(C)(C)OC(=O)CCC(Nc1nc(NCc2nc3c(s2)CCC3)nc(NCC2(CO)CC3C=CC2C3)n1)C(=O)N[Dy],BRD4,1
127440007,O=C(N[C@H](Cc1ccccc1Cl)C(=O)O)OCC1c2ccccc2-c2ccccc21,Nc1nccc(-c2cccnc2)n1,Nc1ccc2nccn2c1,O=C(N[Dy])[C@@H](Cc1ccccc1Cl)Nc1nc(Nc2ccc3nccn3c2)nc(Nc2nccc(-c3cccnc3)n2)n1,HSA,1
192053223,O=C(Nc1ccc(C(=O)O)cc1O)OCC1c2ccccc2-c2ccccc21,COc1ncccc1N,NCCC(=O)N1CCN(c2ccccn2)CC1,COc1ncccc1Nc1nc(NCCC(=O)N2CCN(c3ccccn3)CC2)nc(Nc2ccc(C(=O)N[Dy])cc2O)n1,BRD4,1
116976472,O=C(N[C@H](CCC1CCCCC1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Cc1cccnc1NC(=O)CCN.Cl.Cl,COC(=O)Cc1nc(N)sc1C,COC(=O)Cc1nc(Nc2nc(NCCC(=O)Nc3ncccc3C)nc(N[C@H](CCC3CCCCC3)C(=O)N[Dy])n2)sc1C,HSA,1
250240633,O=C(O)C[C@@H](Cc1ccc(I)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,NCC1CCC(F)(F)CC1,Cn1nccc1[C@@H]1OCC[C@H]1CN,Cn1nccc1[C@@H]1OCC[C@H]1CNc1nc(NCC2CCC(F)(F)CC2)nc(N[C@@H](CC(=O)N[Dy])Cc2ccc(I)cc2)n1,HSA,1
113669581,O=C(N[C@H](C(=O)O)C1CCCCC1)OCC1c2ccccc2-c2ccccc21,Cc1cc(N)n(-c2ccccc2)n1,N#Cc1c[nH]nc1N,Cc1cc(Nc2nc(Nc3n[nH]cc3C#N)nc(N[C@H](C(=O)N[Dy])C3CCCCC3)n2)n(-c2ccccc2)n1,HSA,1
